10;0.321;0.317;0.315;0.314
20;0.344;0.339;0.338;0.338
30;0.374;0.369;0.366;0.367
50;0.426;0.42;0.42;0.42
60;0.45;0.445;0.445;0.446
70;0.47;0.465;0.466;0.468
80;0.485;0.478;0.482;0.485
